GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EmployeeDataService,com.employee.controller,EmployeeController,27,114,2,4,6,28,2,9,0,8
EmployeeDataService,com.employee.controller,AuthenticationController,48,3,0,0,12,1,2,1,2,1
EmployeeDataService,com.employee.exceptionhandler,ErrorResponse,17,0,0,0,7,0,5,0,5,0
EmployeeDataService,com.employee.exceptionhandler,EmployeeExceptionHandler,156,7,6,0,33,2,7,2,4,2
EmployeeDataService,com.employee.jwt,JwtRequest,6,20,0,0,3,9,2,4,2,4
EmployeeDataService,com.employee.jwt,JwtUserDetailsService,18,3,2,0,3,1,2,1,1,1
EmployeeDataService,com.employee.jwt,JwtRequestFilter,78,3,10,0,22,1,6,1,1,1
EmployeeDataService,com.employee.jwt,JwtResponse,0,9,0,0,0,4,0,2,0,2
EmployeeDataService,com.employee.jwt,JwtAuthenticationEntryPoint,5,3,0,0,2,1,1,1,1,1
EmployeeDataService,com.employee.jwt,JwtTokenUtil,93,6,4,0,14,2,10,1,8,1
EmployeeDataService,com.employee,EmployeeDataServiceApplication,5,3,0,0,2,1,1,1,1,1
EmployeeDataService,com.employee.config,SwaggerConfiguration,0,41,0,0,0,13,0,3,0,3
EmployeeDataService,com.employee.config,WebSecurityConfig,0,79,0,0,0,13,0,5,0,5
EmployeeDataService,com.employee.service,EmployeeServiceImpl,0,86,0,0,0,15,0,8,0,8
EmployeeDataService,com.employee.customvalidator,IdValiadtor,2,8,1,1,1,3,1,2,0,2
EmployeeDataService,com.employee.model,Employee,4,52,0,0,2,22,1,11,1,11
EmployeeDataService,com.employee.model,Manager,43,15,0,0,18,7,9,2,9,2
EmployeeDataService,com.employee.exception,ResourceNotFound,0,7,0,0,0,4,0,2,0,2
